Time [min],Power [kW],Cumulative Energy [kWh],Normalized Load
0,0.0,-0.0,0.0
1,0.0,-0.0,0.0
2,0.0,-0.0,0.0
3,0.0,-0.0,0.0
4,0.0,-0.0,0.0
5,0.0,-0.0,0.0
6,0.0,-0.0,0.0
7,0.0,-0.0,0.0
8,0.0,-0.0,0.0
9,0.0,-0.0,0.0
10,0.0,-0.0,0.0
11,0.0,-0.0,0.0
12,0.0,-0.0,0.0
13,0.0,-0.0,0.0
14,0.0,-0.0,0.0
15,0.0,-0.0,0.0
16,0.0,-0.0,0.0
17,0.0,-0.0,0.0
18,0.0,-0.0,0.0
19,0.0,-0.0,0.0
20,0.0,-0.0,0.0
21,0.0,-0.0,0.0
22,0.0,-0.0,0.0
23,0.0,-0.0,0.0
24,0.0,-0.0,0.0
25,0.0,-0.0,0.0
26,0.0,-0.0,0.0
27,0.0,-0.0,0.0
28,0.0,-0.0,0.0
29,0.0,-0.0,0.0
30,0.0,-0.0,0.0
31,0.0,-0.0,0.0
32,0.0,-0.0,0.0
33,0.0,-0.0,0.0
34,0.0,-0.0,0.0
35,0.0,-0.0,0.0
36,0.0,-0.0,0.0
37,0.0,-0.0,0.0
38,0.0,-0.0,0.0
39,0.0,-0.0,0.0
40,0.0,-0.0,0.0
41,0.0,-0.0,0.0
42,0.0,-0.0,0.0
43,0.0,-0.0,0.0
44,0.0,-0.0,0.0
45,0.0,-0.0,0.0
46,0.0,-0.0,0.0
47,0.0,-0.0,0.0
48,0.0,-0.0,0.0
49,0.0,-0.0,0.0
50,0.0,-0.0,0.0
51,0.0,-0.0,0.0
52,0.0,-0.0,0.0
53,0.0,-0.0,0.0
54,0.0,-0.0,0.0
55,0.0,-0.0,0.0
56,0.0,-0.0,0.0
57,0.0,-0.0,0.0
58,0.0,-0.0,0.0
59,0.0,-0.0,0.0
60,0.0,-0.0,0.0
61,0.0,-0.0,0.0
62,0.0,-0.0,0.0
63,0.0,-0.0,0.0
64,0.0,-0.0,0.0
65,0.0,-0.0,0.0
66,0.0,-0.0,0.0
67,-30.0,0.5,-0.18181818181818182
68,-30.0,1.0,-0.18181818181818182
69,-30.0,1.5,-0.18181818181818182
70,-30.0,2.0,-0.18181818181818182
71,-30.0,2.5,-0.18181818181818182
72,-30.0,3.0,-0.18181818181818182
73,-30.0,3.5,-0.18181818181818182
74,-30.0,4.0,-0.18181818181818182
75,-30.0,4.5,-0.18181818181818182
76,-30.0,5.0,-0.18181818181818182
77,-30.0,5.5,-0.18181818181818182
78,-30.0,6.0,-0.18181818181818182
79,-30.0,6.5,-0.18181818181818182
80,-30.0,7.0,-0.18181818181818182
81,-30.0,7.5,-0.18181818181818182
82,-30.0,8.0,-0.18181818181818182
83,-30.0,8.5,-0.18181818181818182
84,-30.0,9.0,-0.18181818181818182
85,-30.0,9.5,-0.18181818181818182
86,-30.0,10.0,-0.18181818181818182
87,-30.0,10.5,-0.18181818181818182
88,-30.0,11.0,-0.18181818181818182
89,-30.0,11.5,-0.18181818181818182
90,-30.0,12.0,-0.18181818181818182
91,-30.0,12.5,-0.18181818181818182
92,-30.0,13.0,-0.18181818181818182
93,-30.0,13.5,-0.18181818181818182
94,-30.0,14.0,-0.18181818181818182
95,-30.0,14.5,-0.18181818181818182
96,-30.0,15.0,-0.18181818181818182
97,-30.0,15.5,-0.18181818181818182
98,-30.0,16.0,-0.18181818181818182
99,-30.0,16.5,-0.18181818181818182
100,-30.0,17.0,-0.18181818181818182
101,-30.0,17.5,-0.18181818181818182
102,-30.0,18.0,-0.18181818181818182
103,-30.0,18.5,-0.18181818181818182
104,-30.0,19.0,-0.18181818181818182
105,-30.0,19.5,-0.18181818181818182
106,-30.0,20.0,-0.18181818181818182
107,-30.0,20.5,-0.18181818181818182
108,-30.0,21.0,-0.18181818181818182
109,-30.0,21.5,-0.18181818181818182
110,-30.0,22.0,-0.18181818181818182
111,-30.0,22.5,-0.18181818181818182
112,-30.0,23.0,-0.18181818181818182
113,-30.0,23.5,-0.18181818181818182
114,-30.0,24.0,-0.18181818181818182
115,-30.0,24.5,-0.18181818181818182
116,-30.0,25.0,-0.18181818181818182
117,-30.0,25.5,-0.18181818181818182
118,-30.0,26.0,-0.18181818181818182
119,-30.0,26.5,-0.18181818181818182
120,-30.0,27.0,-0.18181818181818182
121,-30.0,27.5,-0.18181818181818182
122,-30.0,28.0,-0.18181818181818182
123,-30.0,28.5,-0.18181818181818182
124,-30.0,29.0,-0.18181818181818182
125,-30.0,29.5,-0.18181818181818182
126,-30.0,30.0,-0.18181818181818182
127,-30.0,30.5,-0.18181818181818182
128,-30.0,31.0,-0.18181818181818182
129,-30.0,31.5,-0.18181818181818182
130,-30.0,32.0,-0.18181818181818182
131,-30.0,32.5,-0.18181818181818182
132,-30.0,33.0,-0.18181818181818182
133,-30.0,33.5,-0.18181818181818182
134,-30.0,34.0,-0.18181818181818182
135,-30.0,34.5,-0.18181818181818182
136,-30.0,35.0,-0.18181818181818182
137,-30.0,35.5,-0.18181818181818182
138,-30.0,36.0,-0.18181818181818182
139,-30.0,36.5,-0.18181818181818182
140,-30.0,37.0,-0.18181818181818182
141,-30.0,37.5,-0.18181818181818182
142,-30.0,38.0,-0.18181818181818182
143,-30.0,38.5,-0.18181818181818182
144,-30.0,39.0,-0.18181818181818182
145,-30.0,39.5,-0.18181818181818182
146,-30.0,40.0,-0.18181818181818182
147,-30.0,40.5,-0.18181818181818182
148,-30.0,41.0,-0.18181818181818182
149,-30.0,41.5,-0.18181818181818182
150,-30.0,42.0,-0.18181818181818182
151,-30.0,42.5,-0.18181818181818182
152,-30.0,43.0,-0.18181818181818182
153,-30.0,43.5,-0.18181818181818182
154,-30.0,44.0,-0.18181818181818182
155,-30.0,44.5,-0.18181818181818182
